Report Name,Stock,Species common name,Species scientific name,Period,Quantity Traded,No. Transfers,Low $,Average $,High $,Transfers incl.,Date As At
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2021,735,10,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2020,771,11,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2019,850,12,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2018,139,9,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2017,103,8,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2016,712,11,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2015,699,9,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2014,700,10,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2013,672,11,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2012,84,2,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2011,8,1,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2010,19,2,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2009,307,1,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2008,1,1,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2007,660,2,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2006,229,15,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2005,249,16,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2004,372,18,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2003,0,0,,,,,12/3/2021
ACE Transfer Prices,BYA1,Frilled Venus Shell,,Starting Apr 2002,0,0,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2021,828,3,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2020,937,3,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2019,888,1,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2018,23,1,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2017,0,0,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2016,800,1,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2015,800,1,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2014,800,1,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2013,821,2,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2012,0,0,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2011,0,0,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2010,21,1,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2009,417,2,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2008,0,0,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2007,880,2,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2006,198,11,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2005,311,12,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2004,218,12,,,,,12/3/2021
ACE Transfer Prices,BYA2,Frilled Venus Shell,,Starting Apr 2003,0,0,,,,,12/3/2021
