Report Name,Stock,Species common name,Species scientific name,Period,Quantity Traded,No. Transfers,Low $,Average $,High $,Transfers incl.,Date As At
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2021,62699,16,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2020,92252,30,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2019,129298,28,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2018,108360,30,0.05,0.05,0.05,4,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2017,54732,27,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2016,61352,25,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2015,59238,29,0.0146,0.0436,0.05,4,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2014,55328,28,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2013,70894,32,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2012,110236,45,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2011,118066,48,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2010,123416,45,0.05,0.05,0.0536,3,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2009,108490,42,0.02,0.0232,0.05,3,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2008,103355,45,0.015,0.0233,0.03,6,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2007,230893,46,0.02,0.0295,0.05,3,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2006,230110,38,0.02,0.0253,0.05,4,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2005,151106,44,0.05,0.05,0.0501,3,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2004,106020,34,,,,,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2003,98636,30,0.0148,0.0407,0.0501,6,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2002,90677,26,0.0498,0.05,0.0501,5,12/3/2021
ACE Transfer Prices,ANC1,Anchovy,,Starting Oct 2001,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2021,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2020,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2019,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2018,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2017,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2016,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2015,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2014,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2013,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2012,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2011,0,0,,,,,12/3/2021
ACE Transfer Prices,ANC10,Anchovy,,Starting Oct 2010,0,0,,,,,12/3/2021
