Combined Port Price Data ($/kg) Greenweight,Year range =  October to September,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fish Stock,Species,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/2022
ALB1,Albacore,2.11,2.11,2.31,2.37,2.65,2.30,2.09,2.09,2.84,2.91,2.89,3.439687284,3.700317015,3.954252422
ANC1,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANC10,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANC2,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANC3,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANC4,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANC7,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANC8,Anchovy,0.69,0.69,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ANG11,Freshwater Eels,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,stock split,,,,
ANG12,Freshwater Eels,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,stock split,,,,
ANG13,Freshwater Eels,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,stock split,,,,
ANG14,Freshwater Eels,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,stock split,,,,
ANG15,Freshwater Eels,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,stock split,,,,
ANG16,Freshwater Eels,3.50,3.50,4.00,4.34,4.31,4.31,4.31,4.31,4.31,stock split,,,,
BAR1,Baracutta,0.24,0.24,0.29,0.39,0.39,0.33,0.33,0.32,0.33,0.30,0.400371107,0.308950514,0.300943526,0.32496387
BAR10,Baracutta,0.25,0.25,0.34,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
BAR4,Baracutta,0.25,0.25,0.33,0.39,0.39,0.39,0.39,0.30,0.30,0.30,0.844985116,0.264622041,0.280638469,0.269896982
BAR5,Baracutta,0.25,0.25,0.38,0.35,0.35,0.46,0.46,0.30,0.30,0.25,0.289192732,0.263298506,0.266962331,0.264497615
BAR7,Baracutta,0.25,0.25,0.38,0.43,0.43,0.30,0.30,0.32,0.57,0.31,0.692753289,0.280254389,0.28207972,0.239161946
BCO1,Blue Cod,3.76,3.76,5.93,5.82,5.77,6.08,6.08,4.34,7.19,7.19,6.09394064,5.470813271,6.022153469,8.874084061
BCO10,Blue Cod,3.76,3.76,4.66,4.08,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
BCO2,Blue Cod,3.76,3.76,4.66,4.08,4.05,4.05,4.05,4.34,6.60,6.60,6.09394064,5.470813271,6.022153469,8.874084061
BCO3,Blue Cod,3.93,3.93,4.50,4.46,4.42,4.60,4.60,5.35,5.43,6.52,6.742808585,7.089310262,7.359523801,11.12968405
BCO4,Blue Cod,3.76,3.76,4.66,4.08,4.05,4.05,4.05,4.05,5.26,5.26,5.255438013,5.255438013,5.46294794,6.366705371
BCO5,Blue Cod,3.74,3.74,5.13,4.20,4.17,4.98,6.64,4.53,5.13,5.23,5.913957836,4.849749376,5.993370993,9.260854318
BCO7,Blue Cod,3.76,3.76,4.44,4.08,4.05,4.05,4.33,4.92,5.27,6.07,6.082326593,8.95957911,6.934765444,7.644421937
BCO8,Blue Cod,3.76,3.76,4.17,4.08,4.05,6.21,6.21,6.06,6.51,6.51,6.09394064,5.470813271,6.022153469,8.874084061
BIG1,Bigeye Tuna,16.75,16.75,14.16,15.15,15.03,15.76,15.76,15.76,12.50,9.98,9.975070825,9.975070825,9.975070825,9.975070825
BNS1,Bluenose,4.73,4.73,5.80,5.57,5.53,6.04,6.55,6.46,6.62,6.62,5.208435881,7.71364789,7.656599759,6.779920518
BNS10,Bluenose,4.73,4.73,5.06,4.79,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
BNS2,Bluenose,5.27,5.27,5.01,5.16,5.12,5.72,5.55,5.40,6.49,5.11,6.050143505,5.412453076,5.21317216,6.108661677
BNS3,Bluenose,4.73,4.73,3.21,3.05,3.03,2.94,4.82,3.24,6.23,4.65,3.973034734,3.130093575,3.188283713,4.678901632
BNS7,Bluenose,3.98,3.98,3.59,3.46,3.43,2.90,2.76,4.23,5.48,3.47,4.086242265,2.743693109,2.67694466,3.476079565
BNS8,Bluenose,4.73,4.73,6.16,4.79,4.75,6.30,6.23,5.76,6.53,5.76,6.660133113,5.943466173,5.736105108,5.958958824
BSH,Seal Shark,2.05,2.05,0.78,0.63,,,,,,,1.11,,,
BSH1,Seal Shark,,,,,0.63,1.22,1.22,1.22,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH2,Seal Shark,,,,,1.62,1.68,0.87,0.87,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH3,Seal Shark,,,,,2.61,0.72,0.30,0.30,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH4,Seal Shark,,,,,3.60,3.60,3.60,3.60,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH5,Seal Shark,,,,,4.59,1.68,1.55,1.55,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH6,Seal Shark,,,,,5.59,5.59,5.59,5.59,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH7,Seal Shark,,,,,6.58,0.86,0.69,0.69,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH8,Seal Shark,,,,,,1.22,1.22,1.22,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BSH9,Seal Shark,,,,,,4.60,4.60,4.60,5.17,1.11,1.11,1.114002032,1.114002032,0.06
BUT1,Butterfish,1.58,1.58,4.97,4.76,4.72,4.72,4.72,4.72,5.00,5.00,4.996847084,4.996847084,4.996847084,4.996847084
BUT10,Butterfish,3.84,3.84,4.97,4.76,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
BUT2,Butterfish,3.84,3.84,4.97,4.76,4.72,4.72,5.57,5.57,5.45,4.35,4.352169567,4.352169567,4.352169567,4.005865417
BUT3,Butterfish,3.84,3.84,4.97,4.76,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
BUT4,Butterfish,3.84,3.84,4.97,4.76,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
BUT5,Butterfish,3.84,3.84,4.49,4.70,4.66,4.66,2.76,4.44,4.26,4.24,4.502111018,5.538045788,4.756595992,4.500397611
BUT6,Butterfish,3.84,3.84,4.97,4.76,4.72,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
BUT7,Butterfish,3.30,3.30,4.97,4.76,4.72,4.47,4.47,4.47,4.41,4.25,5.131164956,5.131164956,5.516037652,5.1213886
BWS1,Blue Shark,0.40,0.40,0.57,0.57,0.57,0.57,0.49,0.13,0.13,0.13,0.12517815,0.12517815,0.12517815,0.12517815
BYA1,Surf Clam   frilled venus,3.20,3.20,3.86,3.87,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84
BYA2,Surf Clam   frilled venus,3.20,3.20,3.86,3.87,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84
