"","species_common_name","period","ace_transfer_price","starting_year","wt_ace_2","wt_ace_1"
"1","Deepwater tuatua","Starting Apr 2017",1,"2017",0.75,0.25
"2","Giant Spider Crab","Starting Apr 2004",0.543571802092085,"2004",0.407678851569064,0.135892950523021
"3","Giant Spider Crab","Starting Apr 2005",0.857,"2005",0.64275,0.21425
"4","Giant Spider Crab","Starting Apr 2009",2.90115406205785,"2009",2.17586554654338,0.725288515514461
"5","Giant Spider Crab","Starting Apr 2010",1.10760374257666,"2010",0.830702806932493,0.276900935644164
"6","Giant Spider Crab","Starting Apr 2011",0.559822310756972,"2011",0.419866733067729,0.139955577689243
"7","Giant Spider Crab","Starting Apr 2012",0.705706977803073,"2012",0.529280233352305,0.176426744450768
"8","Giant Spider Crab","Starting Apr 2013",0.662623301213241,"2013",0.496967475909931,0.16565582530331
"9","Giant Spider Crab","Starting Apr 2014",0.628132230809652,"2014",0.471099173107239,0.157033057702413
"10","Giant Spider Crab","Starting Apr 2016",0.0718095858828988,"2016",0.0538571894121741,0.0179523964707247
"11","Giant Spider Crab","Starting Apr 2017",0.0818890330165314,"2017",0.0614167747623986,0.0204722582541329
"12","Giant Spider Crab","Starting Apr 2018",0.073038150311466,"2018",0.0547786127335995,0.0182595375778665
"13","Giant Spider Crab","Starting Apr 2019",0.0891557120537969,"2019",0.0668667840403476,0.0222889280134492
"14","Giant Spider Crab","Starting Apr 2020",0.084061488741498,"2020",0.0630461165561235,0.0210153721853745
"15","Giant Spider Crab","Starting Apr 2021",0.0959659493732863,"2021",0.0719744620299647,0.0239914873433216
"16","Horse Mussel","Starting Apr 2015",0.100034674588172,"2015",0.0750260059411288,0.0250086686470429
"17","Horse Mussel","Starting Apr 2017",0.1,"2017",0.075,0.025
"18","King Crab","Starting Apr 2010",0.673801050588865,"2010",0.505350787941649,0.168450262647216
"19","King Crab","Starting Apr 2011",0.5999,"2011",0.449925,0.149975
"20","King Crab","Starting Apr 2013",0.814564503017987,"2013",0.61092337726349,0.203641125754497
"21","King Crab","Starting Apr 2014",1.03868873029832,"2014",0.779016547723737,0.259672182574579
"22","King Crab","Starting Apr 2015",1.16576241815409,"2015",0.874321813615571,0.291440604538524
"23","King Crab","Starting Apr 2016",0.5366,"2016",0.40245,0.13415
