,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
112,Alfonsino,Starting Oct 2001,0.818559046,2001,2001,0.204639761,
112,Alfonsino,Starting Oct 2001,0.818559046,2001,2002,,0.613919284
113,Alfonsino,Starting Oct 2002,0.979636721,2002,2002,0.24490918,
113,Alfonsino,Starting Oct 2002,0.979636721,2002,2003,,0.734727541
114,Alfonsino,Starting Oct 2003,1.033345739,2003,2003,0.258336435,
114,Alfonsino,Starting Oct 2003,1.033345739,2003,2004,,0.775009304
115,Alfonsino,Starting Oct 2004,1.078310719,2004,2004,0.26957768,
115,Alfonsino,Starting Oct 2004,1.078310719,2004,2005,,0.808733039
116,Alfonsino,Starting Oct 2005,0.907450259,2005,2005,0.226862565,
116,Alfonsino,Starting Oct 2005,0.907450259,2005,2006,,0.680587694
117,Alfonsino,Starting Oct 2006,1.008903808,2006,2006,0.252225952,
117,Alfonsino,Starting Oct 2006,1.008903808,2006,2007,,0.756677856
118,Alfonsino,Starting Oct 2007,0.942288845,2007,2007,0.235572211,
118,Alfonsino,Starting Oct 2007,0.942288845,2007,2008,,0.706716633
119,Alfonsino,Starting Oct 2008,0.901740635,2008,2008,0.225435159,
119,Alfonsino,Starting Oct 2008,0.901740635,2008,2009,,0.676305476
120,Alfonsino,Starting Oct 2009,0.950309045,2009,2009,0.237577261,
120,Alfonsino,Starting Oct 2009,0.950309045,2009,2010,,0.712731784
121,Alfonsino,Starting Oct 2010,1.013542175,2010,2010,0.253385544,
121,Alfonsino,Starting Oct 2010,1.013542175,2010,2011,,0.760156631
122,Alfonsino,Starting Oct 2011,0.984383999,2011,2011,0.246096,
122,Alfonsino,Starting Oct 2011,0.984383999,2011,2012,,0.738288
123,Alfonsino,Starting Oct 2012,1.107708871,2012,2012,0.276927218,
123,Alfonsino,Starting Oct 2012,1.107708871,2012,2013,,0.830781654
124,Alfonsino,Starting Oct 2013,1.144020684,2013,2013,0.286005171,
124,Alfonsino,Starting Oct 2013,1.144020684,2013,2014,,0.858015513
125,Alfonsino,Starting Oct 2014,1.109286764,2014,2014,0.277321691,
125,Alfonsino,Starting Oct 2014,1.109286764,2014,2015,,0.831965073
126,Alfonsino,Starting Oct 2015,1.079965247,2015,2015,0.269991312,
126,Alfonsino,Starting Oct 2015,1.079965247,2015,2016,,0.809973935
127,Alfonsino,Starting Oct 2016,1.171688729,2016,2016,0.292922182,
127,Alfonsino,Starting Oct 2016,1.171688729,2016,2017,,0.878766547
128,Alfonsino,Starting Oct 2017,1.045248731,2017,2017,0.261312183,
128,Alfonsino,Starting Oct 2017,1.045248731,2017,2018,,0.783936548
129,Alfonsino,Starting Oct 2018,1.171493557,2018,2018,0.292873389,
129,Alfonsino,Starting Oct 2018,1.171493557,2018,2019,,0.878620168
130,Alfonsino,Starting Oct 2019,1.088992549,2019,2019,0.272248137,
130,Alfonsino,Starting Oct 2019,1.088992549,2019,2020,,0.816744412
131,Alfonsino,Starting Oct 2020,1.313619967,2020,2020,0.328404992,
131,Alfonsino,Starting Oct 2020,1.313619967,2020,2021,,0.985214975
