"","species_common_name","period","ace_transfer_price","starting_year"
"1","Deepwater tuatua","Starting Apr 2017",1,"2017"
"2","Giant Spider Crab","Starting Apr 2004",0.543571802092085,"2004"
"3","Giant Spider Crab","Starting Apr 2005",0.857,"2005"
"4","Giant Spider Crab","Starting Apr 2009",2.90115406205785,"2009"
"5","Giant Spider Crab","Starting Apr 2010",1.10760374257666,"2010"
"6","Giant Spider Crab","Starting Apr 2011",0.559822310756972,"2011"
"7","Giant Spider Crab","Starting Apr 2012",0.705706977803073,"2012"
"8","Giant Spider Crab","Starting Apr 2013",0.662623301213241,"2013"
"9","Giant Spider Crab","Starting Apr 2014",0.628132230809652,"2014"
"10","Giant Spider Crab","Starting Apr 2016",0.0718095858828988,"2016"
"11","Giant Spider Crab","Starting Apr 2017",0.0818890330165314,"2017"
"12","Giant Spider Crab","Starting Apr 2018",0.073038150311466,"2018"
"13","Giant Spider Crab","Starting Apr 2019",0.0891557120537969,"2019"
"14","Giant Spider Crab","Starting Apr 2020",0.084061488741498,"2020"
"15","Giant Spider Crab","Starting Apr 2021",0.0959659493732863,"2021"
"16","Horse Mussel","Starting Apr 2015",0.100034674588172,"2015"
"17","Horse Mussel","Starting Apr 2017",0.1,"2017"
"18","King Crab","Starting Apr 2010",0.673801050588865,"2010"
"19","King Crab","Starting Apr 2011",0.5999,"2011"
"20","King Crab","Starting Apr 2013",0.814564503017987,"2013"
"21","King Crab","Starting Apr 2014",1.03868873029832,"2014"
"22","King Crab","Starting Apr 2015",1.16576241815409,"2015"
"23","King Crab","Starting Apr 2016",0.5366,"2016"
"24","King Crab","Starting Apr 2017",1.16195673396578,"2017"
"25","Large trough shell","Starting Apr 2004",0.6544,"2004"
"26","Large trough shell","Starting Apr 2005",0.916,"2005"
"27","Large trough shell","Starting Apr 2006",0.95,"2006"
"28","Large trough shell","Starting Apr 2017",1,"2017"
"29","Packhorse Rock Lobster","Starting Apr 2002",6.4669,"2002"
"30","Packhorse Rock Lobster","Starting Apr 2003",8.0085,"2003"
"31","Packhorse Rock Lobster","Starting Apr 2004",6.9032,"2004"
"32","Packhorse Rock Lobster","Starting Apr 2005",6.7829,"2005"
"33","Packhorse Rock Lobster","Starting Apr 2006",6.9904,"2006"
"34","Packhorse Rock Lobster","Starting Apr 2007",8.0876,"2007"
"35","Packhorse Rock Lobster","Starting Apr 2016",29.8478,"2016"
"36","Packhorse Rock Lobster","Starting Apr 2017",33.2142,"2017"
"37","Packhorse Rock Lobster","Starting Apr 2018",25.2551,"2018"
"38","Packhorse Rock Lobster","Starting Apr 2019",28.209,"2019"
"39","Packhorse Rock Lobster","Starting Apr 2020",24.4909,"2020"
"40","Packhorse Rock Lobster","Starting Apr 2021",26.0368,"2021"
"41","Red crab","Starting Apr 2010",0.7614,"2010"
"42","Red crab","Starting Apr 2013",1.4416,"2013"
"43","Red crab","Starting Apr 2014",0.8648,"2014"
"44","Red crab","Starting Apr 2015",0.6042,"2015"
"45","Red crab","Starting Apr 2017",1,"2017"
"46","Red crab","Starting Apr 2021",1.0288,"2021"
"47","Scallop","Starting Apr 2002",15.0192895916519,"2002"
"48","Scallop","Starting Apr 2003",7.3903,"2003"
"49","Scallop","Starting Apr 2004",6.2799,"2004"
"50","Scallop","Starting Apr 2005",7.9381,"2005"
"51","Scallop","Starting Apr 2006",6.6087,"2006"
"52","Scallop","Starting Apr 2007",5.872,"2007"
"53","Scallop","Starting Apr 2011",6.4698,"2011"
"54","Scallop","Starting Apr 2013",7,"2013"
"55","Scallop","Starting Apr 2014",7,"2014"
