,species,fishing_year,wt_ace,TACC,units.TACC,Catch,Units.Catch,wt_port_price
1,Alfonsino,2001,0.205,2727,Tonnes,NA,Tonnes,NA
2,Alfonsino,2002,0.859,2995.7,Tonnes,2904.2,Tonnes,NA
3,Alfonsino,2003,0.993,2995.7,Tonnes,2926.8,Tonnes,NA
4,Alfonsino,2004,1.045,2995.7,Tonnes,2583.9,Tonnes,NA
5,Alfonsino,2005,1.036,2995.7,Tonnes,3052.5,Tonnes,NA
6,Alfonsino,2006,0.933,2995.7,Tonnes,2903.4,Tonnes,NA
7,Alfonsino,2007,0.992,2995.7,Tonnes,2676.7,Tonnes,NA
8,Alfonsino,2008,0.932,2995.7,Tonnes,2748.3,Tonnes,0.447916667
9,Alfonsino,2009,0.914,2995.7,Tonnes,2665.2,Tonnes,1.791666667
10,Alfonsino,2010,0.966,2995.7,Tonnes,2865.2,Tonnes,1.79375
11,Alfonsino,2011,1.006,2995.7,Tonnes,2835.7,Tonnes,1.908333333
12,Alfonsino,2012,1.015,2995.7,Tonnes,2699.3,Tonnes,2.15375
13,Alfonsino,2013,1.117,2995.7,Tonnes,2679,Tonnes,1.922916667
14,Alfonsino,2014,1.135,2995.7,Tonnes,2567.8,Tonnes,1.907916667
15,Alfonsino,2015,1.102,2995.7,Tonnes,2693.3,Tonnes,1.848333333
16,Alfonsino,2016,1.103,2995.7,Tonnes,2728.9,Tonnes,1.991666667
17,Alfonsino,2017,1.14,2995.7,Tonnes,2651.8,Tonnes,1.855
18,Alfonsino,2018,1.077,2995.7,Tonnes,2531,Tonnes,1.743779092
19,Alfonsino,2019,1.151,2995.7,Tonnes,2342.2,Tonnes,1.92414207
20,Alfonsino,2020,1.145,NA,NA,NA,NA,1.970528571
21,Alfonsino,2021,1.33,NA,NA,NA,NA,2.10650792
22,Alfonsino,2022,1.036,NA,NA,NA,NA,1.654246047
23,Anchovy,2002,0.013,NA,NA,NA,NA,NA
24,Anchovy,2003,0.048,560,Tonnes,8.3,Tonnes,NA
25,Anchovy,2004,0.031,560,Tonnes,14.5,Tonnes,NA
26,Anchovy,2005,0.013,560,Tonnes,11.7,Tonnes,NA
27,Anchovy,2006,0.044,560,Tonnes,10,Tonnes,NA
28,Anchovy,2007,0.026,560,Tonnes,2.6,Tonnes,NA
29,Anchovy,2008,0.028,560,Tonnes,0.4,Tonnes,0.1725
30,Anchovy,2009,0.024,560,Tonnes,1.7,Tonnes,0.69
31,Anchovy,2010,0.03,560,Tonnes,12.5,Tonnes,0.725
32,Anchovy,2011,0.038,560,Tonnes,1.2,Tonnes,0.83
33,Anchovy,2012,0.006,560,Tonnes,0.7,Tonnes,0.8275
34,Anchovy,2013,0.017,560,Tonnes,0.5,Tonnes,0.82
35,Anchovy,2015,0.008,560,Tonnes,1,Tonnes,0.82
36,Anchovy,2016,0.032,560,Tonnes,12.6,Tonnes,0.82
37,Anchovy,2017,0.031,560,Tonnes,9.4,Tonnes,0.82
38,Anchovy,2018,0.035,560,Tonnes,0.2,Tonnes,0.82
39,Anchovy,2019,0.036,560,Tonnes,3.6,Tonnes,0.82
40,Anchovy,2020,0.01,NA,NA,NA,NA,0.82
41,Anchovy,2021,0.03,NA,NA,NA,NA,0.82
42,Arrow Squid,2001,0.034,127332.3,Tonnes,NA,Tonnes,NA
43,Arrow Squid,2002,0.146,127332.4,Tonnes,48173.1,Tonnes,NA
44,Arrow Squid,2003,0.143,127332.4,Tonnes,43719.4,Tonnes,NA
45,Arrow Squid,2004,0.082,127332.4,Tonnes,84962.3,Tonnes,NA
46,Arrow Squid,2005,0.161,127332.4,Tonnes,86074.5,Tonnes,NA
47,Arrow Squid,2006,0.185,127332.4,Tonnes,72418.4,Tonnes,NA
48,Arrow Squid,2007,0.181,127332.4,Tonnes,70252.7,Tonnes,NA
49,Arrow Squid,2008,0.147,127332.4,Tonnes,56035.2,Tonnes,NA
50,Arrow Squid,2009,0.124,127332.4,Tonnes,46310.9,Tonnes,NA
51,Arrow Squid,2010,0.135,127332.4,Tonnes,32436,Tonnes,NA
52,Arrow Squid,2011,0.11,127332.4,Tonnes,37304.4,Tonnes,NA
53,Arrow Squid,2012,0.102,127332.4,Tonnes,35207,Tonnes,NA
54,Arrow Squid,2013,0.098,127332.4,Tonnes,24636.4,Tonnes,NA
55,Arrow Squid,2014,0.12,127332.4,Tonnes,15053.2,Tonnes,NA
56,Arrow Squid,2015,0.088,127332.4,Tonnes,16310.1,Tonnes,NA
57,Arrow Squid,2016,0.065,127332.4,Tonnes,43126.7,Tonnes,NA
58,Arrow Squid,2017,0.07,82120.3,Tonnes,18462.1,Tonnes,NA
59,Arrow Squid,2018,0.078,NA,Tonnes,23069.3,Tonnes,NA
60,Arrow Squid,2018,0.078,82120.3,Tonnes,NA,Tonnes,NA
61,Arrow Squid,2019,0.076,82120.3,Tonnes,43391.8,Tonnes,NA
62,Arrow Squid,2020,0.081,NA,NA,NA,NA,NA
63,Arrow Squid,2021,0.083,NA,NA,NA,NA,NA
64,Arrow Squid,2022,0.085,NA,NA,NA,NA,NA
65,Barracouta,2001,0.019,32421,Tonnes,NA,Tonnes,NA
66,Barracouta,2002,0.076,32672.5,Tonnes,21600.2,Tonnes,NA
67,Barracouta,2003,0.077,32672.5,Tonnes,25036.2,Tonnes,NA
68,Barracouta,2004,0.077,32672.5,Tonnes,22459.1,Tonnes,NA
69,Barracouta,2005,0.084,32672.5,Tonnes,26932,Tonnes,NA
70,Barracouta,2006,0.104,32672.5,Tonnes,27881.7,Tonnes,NA
71,Barracouta,2007,0.104,32672.5,Tonnes,29617.6,Tonnes,NA
