Source,Fishing period,Species fishing year start month,Species code,Fishstock Code,Fishstock fishing year start month,Name,TAC allowance,Reported comm. catch (kg),Reported comm. catch (units),TACC (kg),Cust. allow. (kg),Rec. allow. (kg),Target,In QMS
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,HOK,HOK1,10,"Hoki 1,2,3,4,5,6,7,8, and 9 (Combined)",151540000,141566542,,150000000,20000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,JMA,JMA7,10,"Jack mackerel 7, 8 & 9 (Combined)",,33801512,,32536763,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,SBW,SBW6I,4,Southern Blue Whiting Campbell Island Rise,40000000,19524351,,39200000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SQU,SQU6T,10,"Arrow squid Southern Islands, All methods",,10726268,,32369400,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,OYU,OYU5,10,Dredge Oyster Foveaux Strait,20300000,9989921,,14950000,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BAR,BAR1,10,Barracouta Auckland (East),,9519548,,11000456,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BAR,BAR5,10,Barracouta Southland,8370000,8916273,,8200000,2000,3000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,JMA,JMA1,10,"Jack mackerel Auckland (East), Central (East)",,8889515,,10000451,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SQU,SQU1T,10,"Arrow squid All NZ waters except 6T & 10T, All methods",44740881,7734925,,44740881,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,EMA,EMA1,10,Blue Mackerel Auckland(East),7690000,7550509,,7630000,20000,40000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BAR,BAR7,10,Barracouta Challenger,,7127467,,11172853,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,HAK,HAK7,10,Hake Challenger,7777000,4701302,,7700000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,JMA,JMA3,10,"Jack mackerel 3, 4, 5 & 6 (Combined)",9000000,4664913,,8780000,20000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SNA,SNA1,10,Snapper Auckland (East),8050000,4619998,,4500000,50000,3050000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RCO,RCO3,10,Red Cod South East (Coast),4930000,4543297,,4600000,5000,95000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ORH,ORH3B,10,Orange Roughy South East (Chatham Rise...),5250000,4485647,,5000000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SWA,SWA4,10,Silver Warehou Chatham Rise,,4307363,,4089901,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN5,10,Ling Southland,4036000,4050737,,3955000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SWA,SWA3,10,Silver Warehou South East (Coast),,3666894,,3280300,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN7,10,Ling Challenger,3144000,3427833,,3080000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN6,10,Ling Sub Antartic,8590000,3322697,,8505000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,OEO,OEO3A,10,Oreo South-East (Cook Strait/Kaikoura/Strathallan),3518000,3205871,,3350000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,OEO,OEO4,10,Oreo South-East (Chatham Rise),3150000,3010585,,3000000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BAR,BAR4,10,Barracouta Chatham Rise,,2606345,,3019152,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN4,10,Ling Chatham Rise,4200000,2565308,,4200000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RBT,RBT3,10,"Redbait 3, 4, 5 & 6 (combined)",2305000,2435285,,2190000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,SBW,SBW6B,4,Southern Blue Whiting Bounty Platform,2426000,2423249,,2377000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,WAR,WAR3,10,Blue Warehou South East (Coast),,2356675,,2530800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TAR,TAR2,10,Tarakihi Central (East),2082000,1967340,,1796000,100000,150000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RCO,RCO7,10,Red Cod Challenger,,1928887,,3126075,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN3,10,Ling South East (Coast),2060000,1807736,,2060000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TRE,TRE7,10,Trevally Challenger,,1727889,,2153353,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPD,SPD3,10,Spiny Dogfish South-East(Coast),5075000,1725064,,4794000,115000,115000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ORH,ORH7A,10,Orange Roughy Challenger (North),1680000,1622904,,1600000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BYX,BYX2,10,Alfonsino Central (East),,1610624,,1574800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPD,SPD5,10,Spiny Dogfish 5 and 6 (Combined),3753000,1603933,,3700000,8000,8000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RSK,RSK3,10,"Rough Skate 3, 4, 5 and 6 (Combined)",1672000,1528074,,1653000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TRE,TRE1,10,Trevally Auckland (East),,1506441,,1506887,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,FLA,FLA3,10,"Flatfish 3, 4, 5 & 6 Combined",1617000,1421824,,1430000,5000,150000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TAR,TAR1,10,Tarakihi Auckland (East),2029195,1390210,,1447483,73000,487000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPD,SPD4,10,Spiny Dogfish South-East(Chatham Rise),1662000,1377169,,1626000,10000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SNA,SNA8,10,Snapper Central (Egmont),1785000,1334315,,1300000,43000,312000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TAR,TAR3,10,Tarakihi South East (Coast),1503000,1287076,,1403000,15000,15000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GUR,GUR3,10,Gurnard South East (Coast),1290000,1278697,,1220000,3000,6000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,OEO,OEO6,10,Oreo Sub-Antarctic,,1199960,,6000000,,,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,HAK,HAK1,10,Hake Auckland (East),,1175059,,3701143,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,FRO,FRO7,10,Frostfish Challenger,2625000,1164287,,2623000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BCO,BCO5,10,Blue Cod Southland,1452000,1151752,,1239000,2000,191000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TAR,TAR7,10,Tarakihi Challenger,,1139135,,1088490,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,STA,STA7,10,Stargazer Challenger,1181000,1113899,,1122000,1000,4000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,CRA,CRA8,4,Spiny red rock lobster Southern,1053000,1109001,,962000,30000,33000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ELE,ELE3,10,Elephant Fish 3 & 4 Combined,1060000,1052758,,1000000,5000,5000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN2,10,Ling Central (East),,1022032,,982000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,KAH,KAH1,10,Kahawai Auckland (East),2220000,1021407,,1075000,200000,900000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,STA,STA5,10,Stargazer Southland,1264000,992086,,1264000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BYX,BYX3,10,"Alfonsino 3, 4, 5 & 6 Combined",,990776,,1010400,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,COC,COC3,10,Cockle Otago,1500000,967235,,1470000,10000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,STN,STN1,10,Southern Bluefin Tuna 1-10 & high seas (combined),1000000,913498,,971000,1000,8000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GUR,GUR7,10,Gurnard Challenger,919000,904814,,845000,10000,22000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPD,SPD7,10,Spiny Dogfish Challenger,1983000,896602,,1902000,31000,31000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,WAR,WAR7,10,Blue Warehou Challenger,,875188,,1119723,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,FLA,FLA7,10,Flatfish Challenger,,872828,,2065600,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GUR,GUR1,10,Gurnard Auckland (East),,856194,,2287525,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GMU,GMU1,10,Grey Mullet Auckland (East) & (West) combined,1125000,835097,,925501,100000,100000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ORH,ORH1,10,Orange Roughy Auckland (East),1470000,774522,,1400000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BCO,BCO4,10,Blue Cod Chatham Rise,,741521,,759339,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SWA,SWA1,10,Silver Warehou Auckland (East),3003000,696471,,3000000,1000,2000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCH,SCH5,10,School Shark Southland,794000,695595,,743000,7000,7000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GUR,GUR2,10,Gurnard Central (East),,668779,,725462,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,WWA,WWA5B,10,White Warehou Southland and Sub-Antarctic,2621000,636931,,2617000,2000,2000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,EMA,EMA7,10,"Blue Mackerel Challenger, Central(West), Auckland(West)",3352000,624708,,3350000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,OEO,OEO1,10,"Oreo 1,2A,2B,5A,7A,7B,8,9  (Combined)",2500000,603165,,2500000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPE,SPE3,10,Sea Perch South-East(Coast),1022000,588553,,1000000,11000,11000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GSP,GSP1,10,Pale Ghost Shark,1208000,577400,,1150000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCH,SCH7,10,School Shark Challenger,789000,559889,,641000,58000,58000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,FRO,FRO8,10,Frostfish Central(West),649000,552579,,649000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,STA,STA3,10,Stargazer South East (Coast),904600,543460,,901600,1000,2000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPO,SPO3,10,Rig South East (Coast),710000,542747,,600000,20000,60000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCH,SCH1,10,School Shark Auckland (East),893000,529585,,689000,102000,68000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ORH,ORH2A,10,Orange Roughy Central (Gisbourne),512000,504781,,488000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SWO,SWO1,10,Swordfish 1 - 10 (Combined),919000,500513,,885000,10000,20000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GSH,GSH3,10,Ghost Shark South-East(Coast),1185000,493099,,1185000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SUR,SUR5,10,Kina Southland,480000,460091,,455000,10000,10000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SSK,SSK3,10,"Smooth Skate 3, 4, 5 and 6 (Combined)",587000,450610,,579000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SKI,SKI7,10,Gemfish Challenger,300000,431031,,300000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPE,SPE4,10,Sea Perch South-East(Chatham Rise),956000,423706,,910000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GSH,GSH7,10,Ghost Shark Challenger,1121000,423453,,1121000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,FLA,FLA1,10,Flatfish 1 & 9 Combined,1762000,421306,,1187300,270000,270000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LIN,LIN1,10,Ling Auckland (East),463000,404381,,400000,20000,40000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,KAH,KAH2,10,Kahawai Central (East),1530000,399175,,705000,185000,610000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,MOK,MOK1,10,Blue Moki Auckland (East),,386553,,402605,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RCO,RCO2,10,Red Cod Central (East),500018,384637,,500018,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SNA,SNA2,10,Snapper Central (East),450000,373292,,315000,14000,90000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,CDL,CDL2,10,Cardinalfish Central(East),460000,369055,,440000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,CRA,CRA6,4,Spiny red rock lobster Chatham Islands,370000,367811,,360000,4000,6000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,CRA,CRA4,4,Spiny red rock lobster Wellington/Hawkes Bay,484000,367274,,289000,35000,85000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,JDO,JDO1,10,John Dory Auckland (East),,360647,,704000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCH,SCH8,10,School Shark Central (Egmont),597000,353477,,529000,21000,21000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCI,SCI3,10,Scampi South East Coast & Western Chatham Is,357000,344098,,340000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,HPB,HPB3,10,Hapuku & Bass South East (Coast),537600,341793,,335100,1000,195000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,LDO,LDO3,10,"Lookdown Dory 3,4,5, and 6 (Combined)",614000,339299,,614000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCH,SCH3,10,School Shark South East (Coast),502000,338529,,387000,48000,48000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GSP,GSP5,10,Pale Ghost Shark,477000,323639,,454000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,CRA,CRA5,4,Spiny red rock lobster Canterbury/Marlborough,514000,321100,,350000,40000,87000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPO,SPO1,10,Rig Auckland (East),752064,317727,,692064,20000,25000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,KAH,KAH8,10,Kahawai 8 and 9 (Combined),1040000,315592,,520000,115000,385000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BNS,BNS1,10,Bluenose Auckland (East),351000,303976,,327000,2000,15000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TRE,TRE2,10,Trevally Central (East),349263,303641,,241263,1000,100000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCI,SCI6A,10,Scampi Auckland Islands,321000,299579,,306000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BNS,BNS2,10,Bluenose Central (East),392000,299120,,358000,2000,25000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,WWA,WWA3,10,White Warehou South-East(Coast),585000,287690,,583000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,HPB,HPB1,10,Hapuku & Bass 1 & 9 Combined,,287539,,480800,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,HAK,HAK4,10,Hake Chatham Rise,1818000,268310,,1800000,0,0,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,PAU,PAU4,10,Paua South-East (Chatham Rise),,264634,,326543,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SNA,SNA7,10,Snapper Challenger,545000,263169,,250000,20000,250000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPO,SPO7,10,Rig Challenger,306000,258232,,246000,15000,33000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SKI,SKI3,10,Gemfish South East (Coast),300000,248173,,300394,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RIB,RIB7,10,Ribaldo Challenger,330000,245069,,330000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SSK,SSK7,10,Smooth Skate Challenger,217000,244206,,213000,1000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SKI,SKI1,10,Gemfish Auckland (East),218000,244060,,210000,3000,5000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,CRA,CRA3,4,Spiny red rock lobster Gisborne,366860,242357,,237860,20000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SCH,SCH4,10,School Shark Chatham Rise,,238301,,238500,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,COC,COC7A,10,Cockle Nelson Bays cockle fishery,1510000,238250,,1390000,25000,85000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SKI,SKI2,10,Gemfish Central (East),248000,235864,,240000,3000,5000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,PIL,PIL1,10,Pilchards  Auckland(East),2030000,226358,,2000000,10000,20000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPD,SPD1,10,Spiny Dogfish 1 and 2 (Combined),413000,226254,,331000,39000,39000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GSH,GSH4,10,Ghost Shark South-East(Chatham Rise),370000,223013,,370000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SUR,SUR4,10,Kina South-East (Chatham Rise),255000,219992,,225000,20000,7000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RBY,RBY2,10,Ruby Fish Central(East),435000,212842,,433000,1000,1000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RIB,RIB4,10,Ribaldo South-East(Chatham Rise),357000,212424,,357000,0,0,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,SAE,SAE7,4,Triangle shell Challenger,235000,212379,,217000,5000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TAR,TAR8,10,Tarakihi Central (Egmont),,209914,,225400,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,GLM,GLM9,10,Green-lipped mussel Auckland (West),278000,208865,,180000,59000,39000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPO,SPO8,10,Rig Central (Egmont),401000,197032,,310000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,4,PDO,PDO7,4,Deepwater tuatua Challenger,200000,196285,,184000,5000,1000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,TAR,TAR4,10,Tarakihi Chatham Rise,,193349,,316200,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ELE,ELE5,10,Elephant Fish 5 & 6 Combined,188500,181860,,170000,5000,5000,No,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,SPD,SPD8,10,Spiny Dogfish 8 and 9 (Combined),392000,181599,,307000,41000,41000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RBY,RBY1,10,Ruby Fish Auckland(East),318000,179915,,300000,1000,2000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,JDO,JDO7,10,John Dory Challenger,206000,177322,,190000,2000,4000,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,ORH,ORH3A,10,Orange Roughy South East (Cook Strait/Kaikoura),186000,174077,,177000,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,BCO,BCO3,10,Blue Cod South East (Coast),,169766,,162732,,,Yes,Yes
"Ministry for Primary Industries, New Zealand",for 12 months to 30-09-2017,10,RSK,RSK7,10,Rough Skate Challenger,205000,164675,,201000,1000,1000,No,Yes
