,species,fishing_year,TACC,units TACC,Catch,Units Catch
1,Alfonsino,1996,2721.9,Tonnes,NA,Tonnes
2,Alfonsino,1997,2721.1,Tonnes,NA,Tonnes
3,Alfonsino,1998,2727,Tonnes,NA,Tonnes
4,Alfonsino,1999,2727.5,Tonnes,NA,Tonnes
5,Alfonsino,2000,2726.7,Tonnes,NA,Tonnes
6,Alfonsino,2001,2727,Tonnes,NA,Tonnes
7,Alfonsino,2002,2995.7,Tonnes,2904.2,Tonnes
8,Alfonsino,2003,2995.7,Tonnes,2926.8,Tonnes
9,Alfonsino,2004,2995.7,Tonnes,2583.9,Tonnes
10,Alfonsino,2005,2995.7,Tonnes,3052.5,Tonnes
11,Alfonsino,2006,2995.7,Tonnes,2903.4,Tonnes
12,Alfonsino,2007,2995.7,Tonnes,2676.7,Tonnes
13,Alfonsino,2008,2995.7,Tonnes,2748.3,Tonnes
14,Alfonsino,2009,2995.7,Tonnes,2665.2,Tonnes
15,Alfonsino,2010,2995.7,Tonnes,2865.2,Tonnes
16,Alfonsino,2011,2995.7,Tonnes,2835.7,Tonnes
17,Alfonsino,2012,2995.7,Tonnes,2699.3,Tonnes
18,Alfonsino,2013,2995.7,Tonnes,2679,Tonnes
19,Alfonsino,2014,2995.7,Tonnes,2567.8,Tonnes
20,Alfonsino,2015,2995.7,Tonnes,2693.3,Tonnes
21,Alfonsino,2016,2995.7,Tonnes,2728.9,Tonnes
22,Alfonsino,2017,2995.7,Tonnes,2651.8,Tonnes
23,Alfonsino,2018,2995.7,Tonnes,2531,Tonnes
24,Alfonsino,2019,2995.7,Tonnes,2342.2,Tonnes
25,All species,1996,635804.1,Tonnes,NA,Tonnes
26,All species,1997,645066.7,Tonnes,NA,Tonnes
27,All species,1998,642339.6,Tonnes,NA,Tonnes
28,All species,1999,659318.1,Tonnes,NA,Tonnes
29,All species,2000,717348.5,Tonnes,NA,Tonnes
30,All species,2001,686818.1,Tonnes,NA,Tonnes
31,All species,2002,645753.1,Tonnes,475146.3,Tonnes
32,All species,2003,664516.5,Tonnes,495284.3,Tonnes
33,All species,2004,643039.5,Tonnes,475901.5,Tonnes
34,All species,2005,595176.8,Tonnes,469490.8,Tonnes
35,All species,2006,595469.4,Tonnes,452408.8,Tonnes
36,All species,2007,590548,Tonnes,441711.1,Tonnes
37,All species,2008,567723.7,Tonnes,401016.4,Tonnes
38,All species,2009,572260.1,Tonnes,384859.5,Tonnes
39,All species,2010,600652.3,Tonnes,398244.2,Tonnes
40,All species,2011,612823.5,Tonnes,403719.4,Tonnes
41,All species,2012,618364.1,Tonnes,413326.8,Tonnes
42,All species,2013,618366.6,Tonnes,397000.3,Tonnes
43,All species,2014,643193.2,Tonnes,414139.5,Tonnes
44,All species,2015,663730.5,Tonnes,426644.6,Tonnes
45,All species,2016,646127.2,Tonnes,400491.6,Tonnes
46,All species,2017,592452.2,Tonnes,400570.8,Tonnes
47,All species,2018,NA,Tonnes,396773.7,Tonnes
48,All species,2018,589241.3,Tonnes,NA,Tonnes
49,All species,2019,591009,Tonnes,375392,Tonnes
50,Anchovy,2003,560,Tonnes,8.3,Tonnes
51,Anchovy,2004,560,Tonnes,14.5,Tonnes
