"","fishing_period","species_code","tacc_kg","catch_kg","starting_year","species","species_common_name","period","ace_transfer_price"
"1","for 12 months to 30-09-2016","ANC",80000,NA,"2015","Anchovy","Anchovy","Starting Oct 2015",0.0317705743304153
"2","for 12 months to 30-09-2016","ANG",70025,32938.8333333333,"2015","Freshwater eels",NA,NA,NA
"3","for 12 months to 30-09-2016","BAR",6534492.2,NA,"2015","Barracouta","Barracouta","Starting Oct 2015",0.121172019010361
"4","for 12 months to 30-09-2016","BCO",291453.125,NA,"2015","Blue cod","Blue Cod","Starting Oct 2015",1.36064807679697
"5","for 12 months to 30-09-2016","BIG",714000,172759,"2015","Bigeye tuna",NA,NA,NA
"6","for 12 months to 30-09-2016","BNS",185000,NA,"2015","Bluenose","Bluenose","Starting Oct 2015",2.33181642683768
"7","for 12 months to 30-09-2016","BUT",20250,NA,"2015","Butterfish","Butterfish","Starting Oct 2015",0.97397378543112
"8","for 12 months to 30-09-2016","BWS",1860000,162531,"2015","Blue shark","Blue shark","Starting Oct 2015",0.068
"9","for 12 months to 30-09-2016","BYX",499283.333333333,NA,"2015","Alfonsino","Alfonsino","Starting Oct 2015",1.0799652469897
"10","for 12 months to 30-09-2016","CDL",196800,NA,"2015","Cardinalfish","Cardinalfish","Starting Oct 2015",0.10981660372162
"11","for 12 months to 30-09-2016","COC",247230.769230769,NA,"2015","Cockle",NA,NA,NA
"12","for 12 months to 30-09-2016","ELE",218916.666666667,NA,"2015","Elephant fish","Elephant Fish","Starting Oct 2015",0.538107820983099
"13","for 12 months to 30-09-2016","EMA",2310000,NA,"2015","Blue mackerel","Blue Mackerel","Starting Oct 2015",0.126605091683809
"14","for 12 months to 30-09-2016","FLA",1083760,NA,"2015","Flatfish","Flatfish","Starting Oct 2015",0.552084005156641
"15","for 12 months to 30-09-2016","FRO",401900,NA,"2015","Frostfish","Frostfish","Starting Oct 2015",0.0602772633655352
"16","for 12 months to 30-09-2016","GAR",7142.85714285714,NA,"2015","Garfish","Garfish","Starting Oct 2015",0.5111
"17","for 12 months to 30-09-2016","GLM",215000,NA,"2015","Green-lipped mussel","Green-lipped mussel","Starting Oct 2015",6.7466
"18","for 12 months to 30-09-2016","GMU",201120.2,NA,"2015","Grey mullet","Grey Mullet","Starting Oct 2015",0.9225
"19","for 12 months to 30-09-2016","GSH",304700,NA,"2015","Ghost shark","Ghost Shark","Starting Oct 2015",0.101871094513226
"20","for 12 months to 30-09-2016","GSP",593333.333333333,230209.666666667,"2015","Pale ghost shark","Pale Ghost Shark","Starting Oct 2015",0.0429299960285876
"21","for 12 months to 30-09-2016","GUR",938531.166666667,NA,"2015","Gurnard","Gurnard","Starting Oct 2015",0.727501638144779
"22","for 12 months to 30-09-2016","HAK",3302785.75,NA,"2015","Hake","Hake","Starting Oct 2015",0.393964638450075
"23","for 12 months to 30-09-2016","HOK",75005000,NA,"2015","Hoki","Hoki","Starting Oct 2015",0.3684
"24","for 12 months to 30-09-2016","HPB",272700,NA,"2015","Hapuku & bass","Hapuku & Bass","Starting Oct 2015",1.16439081743998
"25","for 12 months to 30-09-2016","JDO",233080,NA,"2015","John dory","John Dory","Starting Oct 2015",1.20367798270757
"26","for 12 months to 30-09-2016","JMA",15136808.5,NA,"2015","Jack mackerel","Jack mackerel","Starting Oct 2015",0.125748429715383
"27","for 12 months to 30-09-2016","KAH",454666.666666667,370433.166666667,"2015","Kahawai","Kahawai","Starting Oct 2015",0.286553741259733
"28","for 12 months to 30-09-2016","KBB",754800,NA,"2015","Bladder kelp",NA,NA,NA
"29","for 12 months to 30-09-2016","KIN",31000,NA,"2015","Kingfish","King Crab","Starting Oct 2015",3.63860733872518
"30","for 12 months to 30-09-2016","KWH",6700,NA,"2015","Knobbed whelk",NA,NA,NA
"31","for 12 months to 30-09-2016","LDO",261000,NA,"2015","Lookdown dory","Lookdown Dory","Starting Oct 2015",0.123876427054053
"32","for 12 months to 30-09-2016","LEA",292200,NA,"2015","Leatherjacket","Leatherjacket","Starting Oct 2015",0.239924598688042
"33","for 12 months to 30-09-2016","LFE",16400,NA,"2015","Long-finned eel","Long-finned eel","Starting Oct 2015",2.50439459539359
"34","for 12 months to 30-09-2016","LIN",2899000,NA,"2015","Ling","Ling","Starting Oct 2015",1.44831424972536
"35","for 12 months to 30-09-2016","MAK",2e+05,70804,"2015","Mako shark","Mako Shark","Starting Oct 2015",0.0688
"36","for 12 months to 30-09-2016","MOK",128181.2,NA,"2015","Blue moki","Blue Moki","Starting Oct 2015",0.59857172423778
"37","for 12 months to 30-09-2016","MOO",527000,61078,"2015","Moonfish","Moonfish","Starting Oct 2015",0.1088
"38","for 12 months to 30-09-2016","OEO",2972000,NA,"2015","Oreo","Oreo","Starting Oct 2015",0.359851292915856
"39","for 12 months to 30-09-2016","ORH",1092000,NA,"2015","Orange roughy","Orange Roughy","Starting Oct 2015",2.17537483176183
"40","for 12 months to 30-09-2016","OYS",56590.9090909091,NA,"2015","Dredge oyster",NA,NA,NA
"41","for 12 months to 30-09-2016","OYU",14950000,10000801,"2015","Dredge oyster","Dredge Oyster","Starting Oct 2015",0.2135
"42","for 12 months to 30-09-2016","PAD",76500,NA,"2015","Paddle crab","Paddle Crab","Starting Oct 2015",0.715269283992578
"43","for 12 months to 30-09-2016","PAR",21000,NA,"2015","Parore","Parore","Starting Oct 2015",0.221202666802771
"44","for 12 months to 30-09-2016","PAU",105849.9,NA,"2015","Paua","Paua","Starting Oct 2015",17.6275960516992
"45","for 12 months to 30-09-2016","PIL",355000,NA,"2015","Pilchards","Pilchards","Starting Oct 2015",0.1843
"46","for 12 months to 30-09-2016","POR",20750,NA,"2015","Porae","Porae","Starting Oct 2015",0.584916890457132
"47","for 12 months to 30-09-2016","POS",110000,43270,"2015","Porbeagle shark","Porbeagle Shark","Starting Oct 2015",0.0618
"48","for 12 months to 30-09-2016","PPI",20400,NA,"2015","Pipi",NA,NA,NA
"49","for 12 months to 30-09-2016","PRK",3272.72727272727,NA,"2015","Prawn killer","Prawn Killer","Starting Oct 2015",0.1355
"50","for 12 months to 30-09-2016","PTO",49500,6380,"2015","Patagonian toothfish",NA,NA,NA
"51","for 12 months to 30-09-2016","PZL",3937.5,NA,"2015","Deepwater clam",NA,NA,NA
"52","for 12 months to 30-09-2016","QSC",380000,13550,"2015","Queen scallop",NA,NA,NA
"53","for 12 months to 30-09-2016","RBM",980000,125153,"2015","Ray's bream","Ray's Bream","Starting Oct 2015",0.056
"54","for 12 months to 30-09-2016","RBT",1262500,NA,"2015","Redbait","Redbait","Starting Oct 2015",0.1406
"55","for 12 months to 30-09-2016","RBY",81200,NA,"2015","Ruby fish","Ruby Fish","Starting Oct 2015",0.111101081855366
