"","species","fishing_year","avg_price","wt_ace_2","wt_ace_1"
"1","Albacore","2008",2.11,0.5275,1.5825
"2","Albacore","2009",2.11,0.5275,1.5825
"3","Albacore","2010",2.31,0.5775,1.7325
"4","Albacore","2011",2.37,0.5925,1.7775
"5","Albacore","2012",2.65,0.6625,1.9875
"6","Albacore","2013",2.3,0.575,1.725
"7","Albacore","2014",2.09,0.5225,1.5675
"8","Albacore","2015",2.09,0.5225,1.5675
"9","Albacore","2016",2.84,0.71,2.13
"10","Albacore","2017",2.91,0.7275,2.1825
"11","Albacore","2018",2.89,0.7225,2.1675
"12","Albacore","2019",3.439687284,0.859921821,2.579765463
"13","Albacore","2020",3.700317015,0.92507925375,2.77523776125
"14","Albacore","2021",3.954252422,0.9885631055,2.9656893165
"15","Alfonsino","2008",1.79166666666667,0.447916666666667,1.34375
"16","Alfonsino","2009",1.79166666666667,0.447916666666667,1.34375
"17","Alfonsino","2010",1.8,0.45,1.35
"18","Alfonsino","2011",2.23333333333333,0.558333333333333,1.675
"19","Alfonsino","2012",1.915,0.47875,1.43625
"20","Alfonsino","2013",1.94666666666667,0.486666666666667,1.46
"21","Alfonsino","2014",1.79166666666667,0.447916666666667,1.34375
"22","Alfonsino","2015",2.01833333333333,0.504583333333333,1.51375
"23","Alfonsino","2016",1.91166666666667,0.477916666666667,1.43375
"24","Alfonsino","2017",1.685,0.42125,1.26375
"25","Alfonsino","2018",1.9201163675,0.480029091875,1.440087275625
"26","Alfonsino","2019",1.936219174,0.4840547935,1.4521643805
"27","Alfonsino","2020",2.07345676166667,0.518364190416667,1.55509257125
"28","Alfonsino","2021",2.2056613965,0.551415349125,1.654246047375
"29","Anchovy","2008",0.69,0.1725,0.5175
"30","Anchovy","2009",0.69,0.1725,0.5175
"31","Anchovy","2010",0.83,0.2075,0.6225
"32","Anchovy","2011",0.83,0.2075,0.6225
"33","Anchovy","2012",0.82,0.205,0.615
"34","Anchovy","2013",0.82,0.205,0.615
"35","Anchovy","2014",0.82,0.205,0.615
"36","Anchovy","2015",0.82,0.205,0.615
"37","Anchovy","2016",0.82,0.205,0.615
"38","Anchovy","2017",0.82,0.205,0.615
"39","Anchovy","2018",0.82,0.205,0.615
"40","Anchovy","2019",0.82,0.205,0.615
"41","Anchovy","2020",0.82,0.205,0.615
"42","Anchovy","2021",0.82,0.205,0.615
"43","Baracutta","2008",0.248,0.062,0.186
"44","Baracutta","2009",0.248,0.062,0.186
"45","Baracutta","2010",0.344,0.086,0.258
"46","Baracutta","2011",0.39,0.0975,0.2925
"47","Baracutta","2012",0.39,0.0975,0.2925
"48","Baracutta","2013",0.374,0.0935,0.2805
"49","Baracutta","2014",0.374,0.0935,0.2805
"50","Baracutta","2015",0.326,0.0815,0.2445
"51","Baracutta","2016",0.378,0.0945,0.2835
"52","Baracutta","2017",0.31,0.0775,0.2325
"53","Baracutta","2018",0.5234604488,0.1308651122,0.3925953366
"54","Baracutta","2019",0.30142509,0.0753562725,0.2260688175
"55","Baracutta","2020",0.3041248092,0.0760312023,0.2280936069
"56","Baracutta","2021",0.2977040826,0.07442602065,0.22327806195
"57","Bigeye Tuna","2008",16.75,4.1875,12.5625
"58","Bigeye Tuna","2009",16.75,4.1875,12.5625
"59","Bigeye Tuna","2010",14.16,3.54,10.62
"60","Bigeye Tuna","2011",15.15,3.7875,11.3625
"61","Bigeye Tuna","2012",15.03,3.7575,11.2725
"62","Bigeye Tuna","2013",15.76,3.94,11.82
"63","Bigeye Tuna","2014",15.76,3.94,11.82
"64","Bigeye Tuna","2015",15.76,3.94,11.82
"65","Bigeye Tuna","2016",12.5,3.125,9.375
"66","Bigeye Tuna","2017",9.98,2.495,7.485
"67","Bigeye Tuna","2018",9.975070825,2.49376770625,7.48130311875
"68","Bigeye Tuna","2019",9.975070825,2.49376770625,7.48130311875
"69","Bigeye Tuna","2020",9.975070825,2.49376770625,7.48130311875
"70","Bigeye Tuna","2021",9.975070825,2.49376770625,7.48130311875
"71","Black Cardinal Fish","2008",0.72,0.18,0.54
"72","Black Cardinal Fish","2009",0.72,0.18,0.54
"73","Black Cardinal Fish","2010",0.935555555555556,0.233888888888889,0.701666666666667
"74","Black Cardinal Fish","2011",0.981111111111111,0.245277777777778,0.735833333333333
"75","Black Cardinal Fish","2012",1,0.25,0.75
"76","Black Cardinal Fish","2013",1,0.25,0.75
"77","Black Cardinal Fish","2014",1.00444444444444,0.251111111111111,0.753333333333333
"78","Black Cardinal Fish","2015",0.982222222222222,0.245555555555556,0.736666666666667
"79","Black Cardinal Fish","2016",0.96,0.24,0.72
"80","Black Cardinal Fish","2017",0.995555555555556,0.248888888888889,0.746666666666667
"81","Black Cardinal Fish","2018",0.886512513777778,0.221628128444444,0.664884385333333
"82","Black Cardinal Fish","2019",0.856636154111111,0.214159038527778,0.642477115583333
"83","Black Cardinal Fish","2020",0.850596128111111,0.212649032027778,0.637947096083333
"84","Black Cardinal Fish","2021",0.812701244777778,0.203175311194444,0.609525933583333
"85","Bladder Kelp","2011",0.15,0.0375,0.1125
"86","Bladder Kelp","2012",0.15,0.0375,0.1125
"87","Bladder Kelp","2013",0.15,0.0375,0.1125
"88","Bladder Kelp","2014",0.15,0.0375,0.1125
"89","Bladder Kelp","2015",0.15,0.0375,0.1125
"90","Bladder Kelp","2016",0.15,0.0375,0.1125
"91","Bladder Kelp","2017",0.15,0.0375,0.1125
"92","Bladder Kelp","2018",0.15,0.0375,0.1125
"93","Bladder Kelp","2019",0.15,0.0375,0.1125
"94","Bladder Kelp","2020",0.15,0.0375,0.1125
"95","Bladder Kelp","2021",0.15,0.0375,0.1125
"96","Blue Cod","2008",3.77875,0.9446875,2.8340625
"97","Blue Cod","2009",3.77875,0.9446875,2.8340625
"98","Blue Cod","2010",4.76875,1.1921875,3.5765625
"99","Blue Cod","2011",4.36,1.09,3.27
"100","Blue Cod","2012",4.32625,1.0815625,3.2446875
"101","Blue Cod","2013",4.75875,1.1896875,3.5690625
"102","Blue Cod","2014",5.00125,1.2503125,3.7509375
"103","Blue Cod","2015",4.705,1.17625,3.52875
"104","Blue Cod","2016",5.68,1.42,4.26
"105","Blue Cod","2017",5.92875,1.4821875,4.4465625
"106","Blue Cod","2018",5.790794118375,1.44769852959375,4.34309558878125
"107","Blue Cod","2019",5.82706457175,1.4567661429375,4.3702984288125
"108","Blue Cod","2020",5.983383573125,1.49584589328125,4.48753767984375
"109","Blue Cod","2021",8.134239732375,2.03355993309375,6.10067979928125
"110","Blue Mackerel","2008",0.36,0.09,0.27
"111","Blue Mackerel","2009",0.36,0.09,0.27
"112","Blue Mackerel","2010",0.596,0.149,0.447
"113","Blue Mackerel","2011",0.49,0.1225,0.3675
"114","Blue Mackerel","2012",0.42,0.105,0.315
"115","Blue Mackerel","2013",0.572,0.143,0.429
"116","Blue Mackerel","2014",0.572,0.143,0.429
"117","Blue Mackerel","2015",0.368,0.092,0.276
