,species,starting_year,fishing_year,avg_price,wt_avg_price_2,wt_avg_price_1
1,Albacore,2008,2008,2.11,0.5275,
1,Albacore,2008,2009,2.11,,1.5825
2,Albacore,2009,2009,2.11,0.5275,
2,Albacore,2009,2010,2.11,,1.5825
3,Albacore,2010,2010,2.31,0.5775,
3,Albacore,2010,2011,2.31,,1.7325
4,Albacore,2011,2011,2.37,0.5925,
4,Albacore,2011,2012,2.37,,1.7775
5,Albacore,2012,2012,2.65,0.6625,
5,Albacore,2012,2013,2.65,,1.9875
6,Albacore,2013,2013,2.3,0.575,
6,Albacore,2013,2014,2.3,,1.725
7,Albacore,2014,2014,2.09,0.5225,
7,Albacore,2014,2015,2.09,,1.5675
8,Albacore,2015,2015,2.09,0.5225,
8,Albacore,2015,2016,2.09,,1.5675
9,Albacore,2016,2016,2.84,0.71,
9,Albacore,2016,2017,2.84,,2.13
10,Albacore,2017,2017,2.91,0.7275,
10,Albacore,2017,2018,2.91,,2.1825
11,Albacore,2018,2018,2.89,0.7225,
11,Albacore,2018,2019,2.89,,2.1675
12,Albacore,2019,2019,3.439687284,0.859921821,
12,Albacore,2019,2020,3.439687284,,2.579765463
13,Albacore,2020,2020,3.700317015,0.925079254,
13,Albacore,2020,2021,3.700317015,,2.775237761
14,Albacore,2021,2021,3.954252422,0.988563106,
14,Albacore,2021,2022,3.954252422,,2.965689317
15,Alfonsino,2008,2008,1.791666667,0.447916667,
15,Alfonsino,2008,2009,1.791666667,,1.34375
16,Alfonsino,2009,2009,1.791666667,0.447916667,
16,Alfonsino,2009,2010,1.791666667,,1.34375
17,Alfonsino,2010,2010,1.8,0.45,
17,Alfonsino,2010,2011,1.8,,1.35
18,Alfonsino,2011,2011,2.233333333,0.558333333,
18,Alfonsino,2011,2012,2.233333333,,1.675
19,Alfonsino,2012,2012,1.915,0.47875,
19,Alfonsino,2012,2013,1.915,,1.43625
20,Alfonsino,2013,2013,1.946666667,0.486666667,
20,Alfonsino,2013,2014,1.946666667,,1.46
21,Alfonsino,2014,2014,1.791666667,0.447916667,
21,Alfonsino,2014,2015,1.791666667,,1.34375
22,Alfonsino,2015,2015,2.018333333,0.504583333,
22,Alfonsino,2015,2016,2.018333333,,1.51375
23,Alfonsino,2016,2016,1.911666667,0.477916667,
23,Alfonsino,2016,2017,1.911666667,,1.43375
24,Alfonsino,2017,2017,1.685,0.42125,
24,Alfonsino,2017,2018,1.685,,1.26375
25,Alfonsino,2018,2018,1.920116368,0.480029092,
25,Alfonsino,2018,2019,1.920116368,,1.440087276
26,Alfonsino,2019,2019,1.936219174,0.484054794,
26,Alfonsino,2019,2020,1.936219174,,1.452164381
27,Alfonsino,2020,2020,2.073456762,0.51836419,
27,Alfonsino,2020,2021,2.073456762,,1.555092571
28,Alfonsino,2021,2021,2.205661397,0.551415349,
28,Alfonsino,2021,2022,2.205661397,,1.654246047
29,Anchovy,2008,2008,0.69,0.1725,
29,Anchovy,2008,2009,0.69,,0.5175
30,Anchovy,2009,2009,0.69,0.1725,
30,Anchovy,2009,2010,0.69,,0.5175
31,Anchovy,2010,2010,0.83,0.2075,
31,Anchovy,2010,2011,0.83,,0.6225
32,Anchovy,2011,2011,0.83,0.2075,
32,Anchovy,2011,2012,0.83,,0.6225
33,Anchovy,2012,2012,0.82,0.205,
33,Anchovy,2012,2013,0.82,,0.615
34,Anchovy,2013,2013,0.82,0.205,
34,Anchovy,2013,2014,0.82,,0.615
35,Anchovy,2014,2014,0.82,0.205,
35,Anchovy,2014,2015,0.82,,0.615
36,Anchovy,2015,2015,0.82,0.205,
36,Anchovy,2015,2016,0.82,,0.615
37,Anchovy,2016,2016,0.82,0.205,
37,Anchovy,2016,2017,0.82,,0.615
