"","species","fishing_year","wt_port_price"
"1","Albacore",2008,0.5275
"2","Albacore",2009,2.11
"3","Albacore",2010,2.16
"4","Albacore",2011,2.325
"5","Albacore",2012,2.44
"6","Albacore",2013,2.5625
"7","Albacore",2014,2.2475
"8","Albacore",2015,2.09
"9","Albacore",2016,2.2775
"10","Albacore",2017,2.8575
"11","Albacore",2018,2.905
"12","Albacore",2019,3.027421821
"13","Albacore",2020,3.504844717
"14","Albacore",2021,3.763800867
"15","Albacore",2022,2.965689317
"16","Alfonsino",2008,0.447916667
"17","Alfonsino",2009,1.791666667
"18","Alfonsino",2010,1.79375
"19","Alfonsino",2011,1.908333333
"20","Alfonsino",2012,2.15375
"21","Alfonsino",2013,1.922916667
"22","Alfonsino",2014,1.907916667
"23","Alfonsino",2015,1.848333333
"24","Alfonsino",2016,1.991666667
"25","Alfonsino",2017,1.855
"26","Alfonsino",2018,1.743779092
"27","Alfonsino",2019,1.92414207
"28","Alfonsino",2020,1.970528571
"29","Alfonsino",2021,2.10650792
"30","Alfonsino",2022,1.654246047
"31","Anchovy",2008,0.1725
"32","Anchovy",2009,0.69
"33","Anchovy",2010,0.725
"34","Anchovy",2011,0.83
"35","Anchovy",2012,0.8275
"36","Anchovy",2013,0.82
"37","Anchovy",2014,0.82
"38","Anchovy",2015,0.82
"39","Anchovy",2016,0.82
"40","Anchovy",2017,0.82
"41","Anchovy",2018,0.82
"42","Anchovy",2019,0.82
"43","Anchovy",2020,0.82
"44","Anchovy",2021,0.82
"45","Anchovy",2022,0.615
"46","Baracutta",2008,0.062
"47","Baracutta",2009,0.248
"48","Baracutta",2010,0.272
"49","Baracutta",2011,0.3555
"50","Baracutta",2012,0.39
"51","Baracutta",2013,0.386
"52","Baracutta",2014,0.374
"53","Baracutta",2015,0.362
"54","Baracutta",2016,0.339
"55","Baracutta",2017,0.361
"56","Baracutta",2018,0.363365112
"57","Baracutta",2019,0.46795161
"58","Baracutta",2020,0.30210002
"59","Baracutta",2021,0.302519628
"60","Baracutta",2022,0.223278062
"61","Bigeye Tuna",2008,4.1875
"62","Bigeye Tuna",2009,16.75
"63","Bigeye Tuna",2010,16.1025
"64","Bigeye Tuna",2011,14.4075
"65","Bigeye Tuna",2012,15.12
"66","Bigeye Tuna",2013,15.2125
"67","Bigeye Tuna",2014,15.76
"68","Bigeye Tuna",2015,15.76
"69","Bigeye Tuna",2016,14.945
"70","Bigeye Tuna",2017,11.87
"71","Bigeye Tuna",2018,9.978767706
"72","Bigeye Tuna",2019,9.975070825
"73","Bigeye Tuna",2020,9.975070825
"74","Bigeye Tuna",2021,9.975070825
"75","Bigeye Tuna",2022,7.481303119
"76","Black Cardinal Fish",2008,0.18
"77","Black Cardinal Fish",2009,0.72
"78","Black Cardinal Fish",2010,0.773888889
"79","Black Cardinal Fish",2011,0.946944445
"80","Black Cardinal Fish",2012,0.985833333
"81","Black Cardinal Fish",2013,1
"82","Black Cardinal Fish",2014,1.001111111
"83","Black Cardinal Fish",2015,0.998888889
"84","Black Cardinal Fish",2016,0.976666667
