"","species_common_name","period","ace_transfer_price","starting_year"
"1","Alfonsino","Starting Oct 2001",0.72334,"2001"
"2","Alfonsino","Starting Oct 2002",0.85236,"2002"
"3","Alfonsino","Starting Oct 2003",0.98302,"2003"
"4","Alfonsino","Starting Oct 2004",0.9197,"2004"
"5","Alfonsino","Starting Oct 2005",0.90068,"2005"
"6","Alfonsino","Starting Oct 2006",0.83742,"2006"
"7","Alfonsino","Starting Oct 2007",0.72468,"2007"
"8","Alfonsino","Starting Oct 2008",0.73474,"2008"
"9","Alfonsino","Starting Oct 2009",0.7173,"2009"
"10","Alfonsino","Starting Oct 2010",0.81818,"2010"
"11","Alfonsino","Starting Oct 2011",0.74782,"2011"
"12","Alfonsino","Starting Oct 2012",0.8483,"2012"
"13","Alfonsino","Starting Oct 2013",0.8871,"2013"
"14","Alfonsino","Starting Oct 2014",0.79862,"2014"
"15","Alfonsino","Starting Oct 2015",0.76856,"2015"
"16","Alfonsino","Starting Oct 2016",0.81882,"2016"
"17","Alfonsino","Starting Oct 2017",0.73928,"2017"
"18","Alfonsino","Starting Oct 2018",0.78824,"2018"
"19","Alfonsino","Starting Oct 2019",0.83126,"2019"
"20","Alfonsino","Starting Oct 2020",1.02648,"2020"
"21","Alfonsino","Starting Oct 2021",1.0465,"2021"
"22","Anchovy","Starting Oct 2002",0.05,"2002"
"23","Anchovy","Starting Oct 2003",0.0407,"2003"
"24","Anchovy","Starting Oct 2005",0.05,"2005"
"25","Anchovy","Starting Oct 2006",0.02495,"2006"
"26","Anchovy","Starting Oct 2007",0.0295,"2007"
"27","Anchovy","Starting Oct 2008",0.0252,"2008"
"28","Anchovy","Starting Oct 2009",0.0232,"2009"
"29","Anchovy","Starting Oct 2010",0.05,"2010"
"30","Anchovy","Starting Oct 2012",0.0229,"2012"
"31","Anchovy","Starting Oct 2015",0.0299,"2015"
"32","Anchovy","Starting Oct 2016",0.0316,"2016"
"33","Anchovy","Starting Oct 2017",0.0302,"2017"
"34","Anchovy","Starting Oct 2018",0.0374,"2018"
"35","Anchovy","Starting Oct 2020",0.0439,"2020"
"36","Arrow squid","Starting Oct 2001",0.1439,"2001"
"37","Arrow squid","Starting Oct 2002",0.1941,"2002"
"38","Arrow squid","Starting Oct 2003",0.0577,"2003"
"39","Arrow squid","Starting Oct 2004",0.1529,"2004"
"40","Arrow squid","Starting Oct 2005",0.18225,"2005"
"41","Arrow squid","Starting Oct 2006",0.18835,"2006"
"42","Arrow squid","Starting Oct 2007",0.15445,"2007"
"43","Arrow squid","Starting Oct 2008",0.117,"2008"
"44","Arrow squid","Starting Oct 2009",0.1439,"2009"
"45","Arrow squid","Starting Oct 2010",0.1099,"2010"
"46","Arrow squid","Starting Oct 2011",0.10715,"2011"
"47","Arrow squid","Starting Oct 2012",0.08815,"2012"
"48","Arrow squid","Starting Oct 2013",0.1244,"2013"
"49","Arrow squid","Starting Oct 2014",0.09555,"2014"
"50","Arrow squid","Starting Oct 2015",0.0646,"2015"
"51","Arrow squid","Starting Oct 2016",0.066,"2016"
"52","Arrow squid","Starting Oct 2017",0.0793,"2017"
"53","Arrow squid","Starting Oct 2018",0.0765,"2018"
"54","Arrow squid","Starting Oct 2019",0.0804,"2019"
"55","Arrow squid","Starting Oct 2020",0.07365,"2020"
"56","Arrow squid","Starting Oct 2021",0.1131,"2021"
"57","Barracouta","Starting Oct 2001",0.070925,"2001"
"58","Barracouta","Starting Oct 2002",0.074125,"2002"
"59","Barracouta","Starting Oct 2003",0.074025,"2003"
"60","Barracouta","Starting Oct 2004",0.076425,"2004"
"61","Barracouta","Starting Oct 2005",0.0929,"2005"
"62","Barracouta","Starting Oct 2006",0.0931,"2006"
"63","Barracouta","Starting Oct 2007",0.10635,"2007"
"64","Barracouta","Starting Oct 2008",0.10725,"2008"
"65","Barracouta","Starting Oct 2009",0.0989,"2009"
"66","Barracouta","Starting Oct 2010",0.10335,"2010"
"67","Barracouta","Starting Oct 2011",0.111025,"2011"
"68","Barracouta","Starting Oct 2012",0.11525,"2012"
"69","Barracouta","Starting Oct 2013",0.11335,"2013"
"70","Barracouta","Starting Oct 2014",0.120975,"2014"
"71","Barracouta","Starting Oct 2015",0.1237,"2015"
"72","Barracouta","Starting Oct 2016",0.114925,"2016"
"73","Barracouta","Starting Oct 2017",0.1308,"2017"
"74","Barracouta","Starting Oct 2018",0.122525,"2018"
"75","Barracouta","Starting Oct 2019",0.13055,"2019"
"76","Barracouta","Starting Oct 2020",0.122375,"2020"
"77","Barracouta","Starting Oct 2021",0.122425,"2021"
"78","Bigeye Tuna","Starting Oct 2004",8.0971,"2004"
"79","Bigeye Tuna","Starting Oct 2005",5.2517,"2005"
"80","Blue Cod","Starting Oct 2001",0.583057142857143,"2001"
"81","Blue Cod","Starting Oct 2002",0.654471428571429,"2002"
"82","Blue Cod","Starting Oct 2003",0.7233,"2003"
"83","Blue Cod","Starting Oct 2004",0.654857142857143,"2004"
"84","Blue Cod","Starting Oct 2005",0.751657142857143,"2005"
"85","Blue Cod","Starting Oct 2006",0.714271428571429,"2006"
"86","Blue Cod","Starting Oct 2007",0.772857142857143,"2007"
"87","Blue Cod","Starting Oct 2008",0.777214285714286,"2008"
"88","Blue Cod","Starting Oct 2009",0.8662,"2009"
"89","Blue Cod","Starting Oct 2010",0.8672,"2010"
"90","Blue Cod","Starting Oct 2011",0.966442857142857,"2011"
"91","Blue Cod","Starting Oct 2012",1.02028571428571,"2012"
"92","Blue Cod","Starting Oct 2013",1.00935714285714,"2013"
"93","Blue Cod","Starting Oct 2014",1.13615714285714,"2014"
"94","Blue Cod","Starting Oct 2015",1.22974285714286,"2015"
"95","Blue Cod","Starting Oct 2016",1.2528,"2016"
"96","Blue Cod","Starting Oct 2017",1.27928571428571,"2017"
"97","Blue Cod","Starting Oct 2018",1.52954285714286,"2018"
"98","Blue Cod","Starting Oct 2019",1.50421428571429,"2019"
"99","Blue Cod","Starting Oct 2020",1.46864285714286,"2020"
"100","Blue Cod","Starting Oct 2021",2.04616666666667,"2021"
"101","Blue Mackerel","Starting Oct 2002",0.088,"2002"
"102","Blue Mackerel","Starting Oct 2003",0.1223,"2003"
"103","Blue Mackerel","Starting Oct 2004",0.1362,"2004"
"104","Blue Mackerel","Starting Oct 2005",0.1069,"2005"
