"","fishing_period","species_code","tacc_kg","catch_kg","starting_year"
"1","for 12 months to 30-09-2016","ANC",80000,NA,2015
"2","for 12 months to 30-09-2016","ANG",70025,32938.8333333333,2015
"3","for 12 months to 30-09-2016","BAR",6534492.2,NA,2015
"4","for 12 months to 30-09-2016","BCO",291453.125,NA,2015
"5","for 12 months to 30-09-2016","BIG",714000,172759,2015
"6","for 12 months to 30-09-2016","BNS",185000,NA,2015
"7","for 12 months to 30-09-2016","BUT",20250,NA,2015
"8","for 12 months to 30-09-2016","BWS",1860000,162531,2015
"9","for 12 months to 30-09-2016","BYX",499283.333333333,NA,2015
"10","for 12 months to 30-09-2016","CDL",196800,NA,2015
"11","for 12 months to 30-09-2016","COC",247230.769230769,NA,2015
"12","for 12 months to 30-09-2016","ELE",218916.666666667,NA,2015
"13","for 12 months to 30-09-2016","EMA",2310000,NA,2015
"14","for 12 months to 30-09-2016","FLA",1083760,NA,2015
"15","for 12 months to 30-09-2016","FRO",401900,NA,2015
"16","for 12 months to 30-09-2016","GAR",7142.85714285714,NA,2015
"17","for 12 months to 30-09-2016","GLM",215000,NA,2015
"18","for 12 months to 30-09-2016","GMU",201120.2,NA,2015
"19","for 12 months to 30-09-2016","GSH",304700,NA,2015
"20","for 12 months to 30-09-2016","GSP",593333.333333333,230209.666666667,2015
"21","for 12 months to 30-09-2016","GUR",938531.166666667,NA,2015
"22","for 12 months to 30-09-2016","HAK",3302785.75,NA,2015
"23","for 12 months to 30-09-2016","HOK",75005000,NA,2015
"24","for 12 months to 30-09-2016","HPB",272700,NA,2015
"25","for 12 months to 30-09-2016","JDO",233080,NA,2015
"26","for 12 months to 30-09-2016","JMA",15136808.5,NA,2015
"27","for 12 months to 30-09-2016","KAH",454666.666666667,370433.166666667,2015
"28","for 12 months to 30-09-2016","KBB",754800,NA,2015
"29","for 12 months to 30-09-2016","KIN",31000,NA,2015
"30","for 12 months to 30-09-2016","KWH",6700,NA,2015
"31","for 12 months to 30-09-2016","LDO",261000,NA,2015
"32","for 12 months to 30-09-2016","LEA",292200,NA,2015
"33","for 12 months to 30-09-2016","LFE",16400,NA,2015
"34","for 12 months to 30-09-2016","LIN",2899000,NA,2015
"35","for 12 months to 30-09-2016","MAK",2e+05,70804,2015
"36","for 12 months to 30-09-2016","MOK",128181.2,NA,2015
